year,post,gender,number
2023,PermRep,male,10
2023,PermRep,female,5
2022,PermRep,female,5
2022,PermRep,male,10
2021,PermRep,female,4
2021,PermRep,male,11
2020,PermRep,female,3
2020,PermRep,male,12
2019,PermRep,female,3
2019,PermRep,male,12
2018,PermRep,female,3
2018,PermRep,male,12
2017,PermRep,female,1
2017,PermRep,male,14
2016,PermRep,female,1
2016,PermRep,male,14
2015,PermRep,female,4
2015,PermRep,male,11
2014,PermRep,female,4
2014,PermRep,male,11
2013,PermRep,female,2
2013,PermRep,male,13
2012,PermRep,female,1
2012,PermRep,male,14
2011,PermRep,female,2
2011,PermRep,male,13
2010,PermRep,female,2
2010,PermRep,male,13
2009,PermRep,female,1
2009,PermRep,male,14
2008,PermRep,female,1
2008,PermRep,male,14
2007,PermRep,female,0
2007,PermRep,male,15
2006,PermRep,female,1
2006,PermRep,male,14
2005,PermRep,female,1
2005,PermRep,male,14
2004,PermRep,female,0
2004,PermRep,male,15
2003,PermRep,female,0
2003,PermRep,male,15
2002,PermRep,female,0
2002,PermRep,male,15
2001,PermRep,female,1
2001,PermRep,male,14
2000,PermRep,female,1
2000,PermRep,male,14
1999,PermRep,female,0
1999,PermRep,male,15
1998,PermRep,female,0
1998,PermRep,male,15
1997,PermRep,female,0
1997,PermRep,male,15
1996,PermRep,female,1
1996,PermRep,male,14
1995,PermRep,female,1
1995,PermRep,male,14
1994,PermRep,female,1
1994,PermRep,male,14
1993,PermRep,female,1
1993,PermRep,male,14
1992,PermRep,female,0
1992,PermRep,male,15
2024,PermRep,female,5
2024,PermRep,male,10
