year,region,number
2023,Africa,78
2023,Middle East,68
2023,Asia,22
2023,Americas,14
2023,Europe,22
2011,Africa,120
2021,Africa,91
2020,Africa,81
2019,Africa,94
2018,Africa,103
2017,Africa,105
2016,Africa,96
2015,Africa,90
2014,Africa,99
2013,Africa,91
2012,Africa,90
2011,Americas,5
2021,Americas,12
2020,Americas,10
2019,Americas,13
2018,Americas,9
2017,Americas,13
2016,Americas,6
2015,Americas,3
2014,Americas,3
2013,Americas,3
2012,Americas,4
2011,Asia,12
2021,Asia,13
2020,Asia,6
2019,Asia,10
2018,Asia,11
2017,Asia,20
2016,Asia,8
2015,Asia,6
2014,Asia,6
2013,Asia,5
2012,Asia,11
2011,Europe,13
2021,Europe,10
2020,Europe,9
2019,Europe,10
2018,Europe,16
2017,Europe,9
2016,Europe,9
2015,Europe,17
2014,Europe,30
2013,Europe,9
2012,Europe,9
2011,Middle East,27
2021,Middle East,58
2020,Middle East,64
2019,Middle East,60
2018,Middle East,67
2017,Middle East,58
2016,Middle East,59
2015,Middle East,51
2014,Middle East,43
2013,Middle East,29
2012,Middle East,41
2022,Africa,86
2022,Middle East,58
2022,Asia,34
2022,Americas,18
2022,Europe,12
