year,region, number
2001,Europe,1
2001,Africa,1
2002,Europe,1
2002,Africa,3
2003,Asia,1
2003,Africa,1
2004,Africa,2
2005,Africa,2
2005,Americas,1
2006,Africa,2
2006,Asia,1
2007,Africa,1
2007,Asia,1
2007,Europe,1
2008,Asia,1
2008,Africa,1
2009,Americas,1
2009,Africa,1
2010,Africa,2
2010,Asia,1
2011,Africa,1
2012,Africa,1
2012,Americas,1
2012,Asia,1
2013,Africa,1
2013,Middle East,1
2014,Europe,0.5
2014,Africa,1.5
2015,Americas,1
2015,Africa,1
2016,Africa,5
2017,Africa,3
2017,Americas,2
2018,Asia,2
2018,Africa,1
2019,Africa,3
2019,Americas,1
2019,Africa,3
2019,Middle East,1
2021,Africa,1
2023,Africa,2
2024,Americas,1
